Pincode,QWIK GNG.,Del Serv.,Shadowfax Serv.,Bluedart Serv,Qwik HD.,Del HD.,City,State,Zone,GNG P1,HD P1
110065,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110066,Active,Active,Active,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110067,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110068,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110069,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110070,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110071,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110072,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110073,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110074,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110075,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110076,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110077,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110078,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110080,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110081,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110082,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110083,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110084,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110085,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110086,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110087,Active,Active,Active,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110088,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110089,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110090,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110091,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
